
=== joint_distill_mse ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_joint_distill.py --env_name button-press-topdown-v3 --camera_names gripperPOV corner2 corner3 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --distill_mode mse --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_distill_mse_20260404_002915/vtmae_joint_distill_mse_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_distill_mse_20260404_002915/previews
[JOINT-3CAM] channels=9, views=3, size=(84,84)
[JOINT-3CAM] cameras=['gripperPOV', 'corner2', 'corner3']
[JOINT-3CAM] steps=50000 distill_mode=mse single_recon=1 warmup=0
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] total=4,860,244 trainable=4,860,244
[Weights] full_recon=1.0 single_recon=1.0 distill=1.0
[5600/50000] total=0.0108 ema=0.0108 full=0.0038 single=0.0068 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0044 full_v1=0.0027 full_v2=0.0042 single_by_cam[cam0=0.0049 cam1=0.0079 cam2=0.0076] distill_by_cam[cam0=0.0000 cam1=0.0004 cam2=0.0004]
[5700/50000] total=0.0082 ema=0.0109 full=0.0032 single=0.0050 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0035 full_v1=0.0017 full_v2=0.0043 single_by_cam[cam0=0.0042 cam1=0.0056 cam2=0.0051] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0001]
[5800/50000] total=0.0119 ema=0.0125 full=0.0046 single=0.0072 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0034 full_v1=0.0028 full_v2=0.0076 single_by_cam[cam0=0.0064 cam1=0.0081 cam2=0.0072] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[5900/50000] total=0.0086 ema=0.0115 full=0.0032 single=0.0053 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0032 full_v1=0.0021 full_v2=0.0044 single_by_cam[cam0=0.0043 cam1=0.0060 cam2=0.0056] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[6000/50000] total=0.0087 ema=0.0105 full=0.0033 single=0.0053 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0035 full_v1=0.0021 full_v2=0.0043 single_by_cam[cam0=0.0045 cam1=0.0059 cam2=0.0055] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[6100/50000] total=0.0110 ema=0.0105 full=0.0038 single=0.0070 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0035 full_v1=0.0026 full_v2=0.0054 single_by_cam[cam0=0.0051 cam1=0.0082 cam2=0.0076] distill_by_cam[cam0=0.0000 cam1=0.0003 cam2=0.0003]
[6200/50000] total=0.0093 ema=0.0101 full=0.0032 single=0.0059 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0038 full_v1=0.0017 full_v2=0.0041 single_by_cam[cam0=0.0042 cam1=0.0070 cam2=0.0066] distill_by_cam[cam0=0.0000 cam1=0.0002 cam2=0.0002]
[6300/50000] total=0.0110 ema=0.0102 full=0.0043 single=0.0066 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0062 full_v1=0.0024 full_v2=0.0044 single_by_cam[cam0=0.0054 cam1=0.0073 cam2=0.0070] distill_by_cam[cam0=0.0000 cam1=0.0002 cam2=0.0002]
[6400/50000] total=0.0075 ema=0.0103 full=0.0027 single=0.0047 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0029 full_v1=0.0017 full_v2=0.0036 single_by_cam[cam0=0.0036 cam1=0.0054 cam2=0.0051] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[6500/50000] total=0.0132 ema=0.0104 full=0.0047 single=0.0083 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0063 full_v1=0.0027 full_v2=0.0052 single_by_cam[cam0=0.0060 cam1=0.0097 cam2=0.0092] distill_by_cam[cam0=0.0000 cam1=0.0002 cam2=0.0003]
[6600/50000] total=0.0101 ema=0.0104 full=0.0030 single=0.0067 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0034 full_v1=0.0017 full_v2=0.0040 single_by_cam[cam0=0.0039 cam1=0.0083 cam2=0.0080] distill_by_cam[cam0=0.0000 cam1=0.0004 cam2=0.0004]
[6700/50000] total=0.0088 ema=0.0105 full=0.0034 single=0.0054 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0035 full_v1=0.0020 full_v2=0.0046 single_by_cam[cam0=0.0044 cam1=0.0061 cam2=0.0057] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[6800/50000] total=0.0145 ema=0.0104 full=0.0046 single=0.0096 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0060 full_v1=0.0027 full_v2=0.0050 single_by_cam[cam0=0.0060 cam1=0.0116 cam2=0.0112] distill_by_cam[cam0=0.0000 cam1=0.0005 cam2=0.0005]
