
=== curriculum ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae.py --camera_names gripperPOV corner corner2 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --schedule default_3cam --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/curriculum_20260329_173506/vtmae_curriculum_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/curriculum_20260329_173506/previews
[VTMAE-3CAM] channels=9, views=3, size=(84,84)
[VTMAE-3CAM] cameras=['gripperPOV', 'corner', 'corner2']
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] MultiViewVST total: 2,240,648 | trainable: 2,240,648
[Params] MultiViewVSMAE total: 4,860,244 | trainable: 4,860,244
[Params breakdown] encoder=2,240,648 decoder=2,367,488 heads=249,804
[5300/50000] phase=A total=0.0037 ema=0.0035 recon=0.0037 align=0.0000 v0=0.0027 v1=0.0051 v2=0.0031 visible=0.0036 cross=0.0001 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[5400/50000] phase=A total=0.0031 ema=0.0035 recon=0.0029 align=0.0013 v0=0.0037 v1=0.0026 v2=0.0017 visible=0.0026 cross=0.0003 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[5500/50000] phase=A total=0.0029 ema=0.0035 recon=0.0027 align=0.0015 v0=0.0029 v1=0.0031 v2=0.0017 visible=0.0025 cross=0.0002 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[5600/50000] phase=A total=0.0037 ema=0.0035 recon=0.0035 align=0.0014 v0=0.0043 v1=0.0027 v2=0.0024 visible=0.0030 cross=0.0004 patterns(t/s)=29/3 mask(v0/v1/v2)=0.75/0.75/0.75
[5700/50000] phase=A total=0.0031 ema=0.0038 recon=0.0031 align=0.0000 v0=0.0029 v1=0.0034 v2=0.0030 visible=0.0031 cross=0.0000 patterns(t/s)=32/0 mask(v0/v1/v2)=0.75/0.75/0.75
[5800/50000] phase=A total=0.0021 ema=0.0037 recon=0.0021 align=0.0000 v0=0.0025 v1=0.0022 v2=0.0016 visible=0.0021 cross=0.0000 patterns(t/s)=32/0 mask(v0/v1/v2)=0.75/0.75/0.75
[5900/50000] phase=A total=0.0027 ema=0.0035 recon=0.0025 align=0.0013 v0=0.0027 v1=0.0025 v2=0.0021 visible=0.0024 cross=0.0001 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[6000/50000] phase=A total=0.0030 ema=0.0034 recon=0.0030 align=0.0006 v0=0.0036 v1=0.0028 v2=0.0021 visible=0.0028 cross=0.0002 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[6100/50000] phase=A total=0.0038 ema=0.0034 recon=0.0035 align=0.0023 v0=0.0031 v1=0.0041 v2=0.0024 visible=0.0031 cross=0.0003 patterns(t/s)=29/3 mask(v0/v1/v2)=0.75/0.75/0.75
[6200/50000] phase=A total=0.0029 ema=0.0033 recon=0.0028 align=0.0012 v0=0.0030 v1=0.0032 v2=0.0018 visible=0.0026 cross=0.0001 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
